"","submitted_name","data_source_title","score","matched_name2","match"
"1","Aaptos duchassaingi","uBio NameBank",0.988,"Aaptos duchassaingi",TRUE
"2","Aaptos pernucleata","EOL",0.988,"Aaptos pernucleata",TRUE
"3","Aaptos suberitoides","NCBI",0.988,"Aaptos suberitoides",TRUE
"4","Aatolana rapax","EOL",0.988,"Aatolana rapax",TRUE
"5","Abalistes filamentosus","EOL",0.988,"Abalistes filamentosus",TRUE
"6","Abalistes stellaris","NCBI",0.988,"Abalistes stellaris",TRUE
"7","Abalistes stellatus","NCBI",0.988,"Abalistes stellatus",TRUE
"8","Abietinaria abietina","NCBI",0.988,"Abietinaria abietina",TRUE
"9","Abietinella operculata","NCBI",0.988,"Abietinella operculata",TRUE
"10","Ablabys macracanthus","EOL",0.988,"Ablabys macracanthus",TRUE
"11","Ablabys taenianotus","NCBI",0.988,"Ablabys taenianotus",TRUE
"12","Ablennes hians","NCBI",0.988,"Ablennes hians",TRUE
"13","Abralia andamanica","NCBI",0.988,"Abralia andamanica",TRUE
"14","Abralia astrosticta","EOL",0.988,"Abralia astrosticta",TRUE
"15","Abralia heminuchalis","EOL",0.988,"Abralia heminuchalis",TRUE
"16","Abra lioica","EOL",0.988,"Abra lioica",TRUE
"17","Abraliopsis felis","EOL",0.988,"Abraliopsis felis",TRUE
"18","Abraliopsis hoylei","EOL",0.988,"Abraliopsis hoylei",TRUE
"19","Abrina sibogai","Catalogue of Life",0.988,"Abrina sibogai",TRUE
"20","Abudefduf abdominalis","NCBI",0.988,"Abudefduf abdominalis",TRUE
"21","Abudefduf bengalensis","NCBI",0.988,"Abudefduf bengalensis",TRUE
"22","Abudefduf concolor","NCBI",0.988,"Abudefduf concolor",TRUE
"23","Abudefduf declivifrons","NCBI",0.988,"Abudefduf declivifrons",TRUE
"24","Abudefduf lorenzi","NCBI",0.988,"Abudefduf lorenzi",TRUE
"25","Abudefduf luridus","NCBI",0.988,"Abudefduf luridus",TRUE
"26","Abudefduf natalensis","EOL",0.988,"Abudefduf natalensis",TRUE
"27","Abudefduf notatus","NCBI",0.988,"Abudefduf notatus",TRUE
"28","Abudefduf saxatilis","NCBI",0.988,"Abudefduf saxatilis",TRUE
"29","Abudefduf septemfasciatus","NCBI",0.988,"Abudefduf septemfasciatus",TRUE
"30","Abudefduf sexfasciatus","NCBI",0.988,"Abudefduf sexfasciatus",TRUE
"31","Abudefduf sordidus","NCBI",0.988,"Abudefduf sordidus",TRUE
"32","Abudefduf sparoides","NCBI",0.988,"Abudefduf sparoides",TRUE
"33","Abudefduf taurus","NCBI",0.988,"Abudefduf taurus",TRUE
"34","Abudefduf troschelii","NCBI",0.988,"Abudefduf troschelii",TRUE
"35","Abudefduf vaigiensis","NCBI",0.988,"Abudefduf vaigiensis",TRUE
"36","Abudefduf whitleyi","NCBI",0.988,"Abudefduf whitleyi",TRUE
"37","Abyla haeckeli","EOL",0.988,"Abyla haeckeli",TRUE
"38","Abylopsis eschscholtzi","NCBI",0.988,"Abylopsis eschscholtzi",TRUE
"39","Abylopsis tetragona","NCBI",0.988,"Abylopsis tetragona",TRUE
"40","Abyssascidia millari","EOL",0.988,"Abyssascidia millari",TRUE
"41","Abyssobrotula galatheae","Freebase",0.988,"Abyssobrotula galatheae",TRUE
"42","Abyssorchomene nodimanus","NCBI",0.988,"Abyssorchomene nodimanus",TRUE
"43","Abyssorchomene plebs","EOL",0.988,"Abyssorchomene plebs",TRUE
"44","Abyssorchomene rossi","NCBI",0.988,"Abyssorchomene rossi",TRUE
"45","Abyssotherma pacifica","EOL",0.988,"Abyssotherma pacifica",TRUE
"46","Abyssothyris wyvillei","EOL",0.988,"Abyssothyris wyvillei",TRUE
"47","Acaenosquilla brazieri","uBio NameBank",0.988,"Acaenosquilla brazieri",TRUE
"48","Acalyptophis peronii","EOL",0.988,"Acalyptophis peronii",TRUE
"49","Acanthacaris caeca","NCBI",0.988,"Acanthacaris caeca",TRUE
"50","Acanthacaris tenuimana","NCBI",0.988,"Acanthacaris tenuimana",TRUE
"51","Acanthaluteres brownii","NCBI",0.988,"Acanthaluteres brownii",TRUE
"52","Acanthaluteres spilomelanurus","NCBI",0.988,"Acanthaluteres spilomelanurus",TRUE
"53","Acanthaluteres vittiger","NCBI",0.988,"Acanthaluteres vittiger",TRUE
"54","Acanthanas pusillus","Interim Register of Marine and Nonmarine Genera",0.988,"Acanthanas pusillus",TRUE
"55","Acanthanectes hystrix","Freebase",0.988,"Acanthanectes hystrix",TRUE
"56","Acanthanectes rufus","Freebase",0.988,"Acanthanectes rufus",TRUE
"57","Acanthaphritis barbata","EOL",0.988,"Acanthaphritis barbata",TRUE
"58","Acanthaphritis grandisquamis","EOL",0.988,"Acanthaphritis grandisquamis",TRUE
"59","Acantharctus ornatus","NCBI",0.988,"Acantharctus ornatus",TRUE
"60","Acanthaspidia acanthonotus","CU*STAR",0.988,"Acanthaspidia acanthonotus",TRUE
"61","Acanthaster planci","NCBI",0.988,"Acanthaster planci",TRUE
"62","Acanthastrea bowerbanki","NCBI",0.988,"Acanthastrea bowerbanki",TRUE
"63","Acanthastrea brevis","Union 4",0.988,"Acanthastrea brevis",TRUE
"64","Acanthastrea echinata","NCBI",0.988,"Acanthastrea echinata",TRUE
"65","Acanthastrea faviaformis","NCBI",0.988,"Acanthastrea faviaformis",TRUE
"66","Acanthastrea hemprichii","NCBI",0.988,"Acanthastrea hemprichii",TRUE
"67","Acanthastrea hillae","NCBI",0.988,"Acanthastrea hillae",TRUE
"68","Acanthastrea ishigakiensis","NCBI",0.988,"Acanthastrea ishigakiensis",TRUE
"69","Acanthastrea lordhowensis","Union 4",0.988,"Acanthastrea lordhowensis",TRUE
"70","Acanthastrea maxima","NCBI",0.988,"Acanthastrea maxima",TRUE
"71","Acanthastrea regularis","Union 4",0.988,"Acanthastrea regularis",TRUE
"72","Acanthastrea rotundoflora","Union 4",0.988,"Acanthastrea rotundoflora",TRUE
"73","Acanthastrea subechinata","NCBI",0.988,"Acanthastrea subechinata",TRUE
"74","Acanthaxius miyazakiensis","CU*STAR",0.988,"Acanthaxius miyazakiensis",TRUE
"75","Acanthaxius spinosissimus","uBio NameBank",0.988,"Acanthaxius spinosissimus",TRUE
"76","Acanthella cavernosa","NCBI",0.988,"Acanthella cavernosa",TRUE
"77","Acanthemblemaria aspera","NCBI",0.988,"Acanthemblemaria aspera",TRUE
"78","Acanthemblemaria balanorum","NCBI",0.988,"Acanthemblemaria balanorum",TRUE
"79","Acanthemblemaria castroi","NCBI",0.988,"Acanthemblemaria castroi",TRUE
"80","Acanthemblemaria chaplini","NCBI",0.988,"Acanthemblemaria chaplini",TRUE
"81","Acanthemblemaria crockeri","NCBI",0.988,"Acanthemblemaria crockeri",TRUE
"82","Acanthemblemaria exilispinus","NCBI",0.988,"Acanthemblemaria exilispinus",TRUE
"83","Acanthemblemaria hancocki","NCBI",0.988,"Acanthemblemaria hancocki",TRUE
"84","Acanthemblemaria hastingsi","Freebase",0.988,"Acanthemblemaria hastingsi",TRUE
"85","Acanthemblemaria macrospilus","NCBI",0.988,"Acanthemblemaria macrospilus",TRUE
"86","Acanthemblemaria mangognatha","Freebase",0.988,"Acanthemblemaria mangognatha",TRUE
"87","Acanthemblemaria maria","NCBI",0.988,"Acanthemblemaria maria",TRUE
"88","Acanthemblemaria spinosa","NCBI",0.988,"Acanthemblemaria spinosa",TRUE
"89","Acanthephyra acutifrons","NCBI",0.988,"Acanthephyra acutifrons",TRUE
"90","Acanthephyra armata","NCBI",0.988,"Acanthephyra armata",TRUE
"91","Acanthephyra brevirostris","NCBI",0.988,"Acanthephyra brevirostris",TRUE
"92","Acanthephyra carinata","NCBI",0.988,"Acanthephyra carinata",TRUE
"93","Acanthephyra chacei","EOL",0.988,"Acanthephyra chacei",TRUE
"94","Acanthephyra cucullata","NCBI",0.988,"Acanthephyra cucullata",TRUE
